Screen Name ,Entity Code Name,Visual Name on Screen,Box Type,Which query or Hard-Coded Strings are being used for showing DROP DOWN data values ?,Drop Down Tables or  Hard Coded,Which table is being used for saving actual client data?,Actual Table - Field Name,Tab Name,Form Level Exceptions,Buisness Rules (Viewing),Code Line,Buisness Rules/Validation (Save & Exit),Code Line ( Save) ,Code Line ( Save & Exit )  or Silent functions,Events - Drop Down / Group Boxes/ Check Boxes,Similar logic implemented by Akshat in ReACT,Comments / Extra Explanations  by Deepak
Main Form ,Command262,CCT Team - Find Special Accounts,Command Button,,,,,frmMainMenu,,,,,,,,,Opens up frmFindAccount_CCT
,,,,,,,,,,,,,,,,,
Account Selection - CCT,cboAcctName,Account Name,Combo Box,"SELECT tblAcctSpecial.CustomerName AS [Customer Name], tblAcctSpecial.CustomerNum AS [Cust Number], tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel AS [Service Level] FROM tblAcctSpecial GROUP BY tblAcctSpecial.CustomerName, tblAcctSpecial.CustomerNum, tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel ORDER BY tblAcctSpecial.CustomerName; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,cboCustNum,Customer Number,Combo Box,"SELECT tblAcctSpecial.CustomerNum AS [Cust Number], tblAcctSpecial.CustomerName AS [Customer Name], tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel AS [Service Level] FROM tblAcctSpecial GROUP BY tblAcctSpecial.CustomerNum, tblAcctSpecial.CustomerName, tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel ORDER BY tblAcctSpecial.CustomerNum; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,cboPolicy,Policy Number,Combo Box,"SELECT tblPOLICIES.PolicyNum AS [Policy Num], tblAcctSpecial.CustomerNum AS [Cust Number], tblAcctSpecial.CustomerName AS [Customer Name], tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel AS [Service Level] FROM tblPOLICIES INNER JOIN tblAcctSpecial ON tblPOLICIES.CustomerNum=tblAcctSpecial.CustomerNum GROUP BY tblPOLICIES.PolicyNum, tblAcctSpecial.CustomerNum, tblAcctSpecial.CustomerName, tblAcctSpecial.OnBoardDate, tblAcctSpecial.ServLevel HAVING (((tblPOLICIES.PolicyNum) Is Not Null)) ORDER BY tblPOLICIES.PolicyNum; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,cboProducer,Prodcuer Code,Combo Box,"SELECT tblPolicies.AgentCode AS [Producer Code], tblPolicies.AgentName AS Producer, tblPolicies.AccountName AS [Customer Name], tblPolicies.InceptDate AS Inception, tblPolicies.CustomerNum FROM tblPolicies GROUP BY tblPolicies.AgentCode, tblPolicies.AgentName, tblPolicies.AccountName, tblPolicies.InceptDate, tblPolicies.CustomerNum HAVING (((tblPolicies.AgentCode) Is Not Null)) ORDER BY tblPolicies.AgentCode; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,cboAffinName,Affiliate Name,Combo Box,"SELECT tblAcctAffinityProgram.ProgramName AS [Affinity Program Name], tblAcctAffinityProgram.OnBoardDt AS [On Board Date] FROM tblAcctAffinityProgram ORDER BY tblAcctAffinityProgram.ProgramName; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,cboNamedInsured,Policy Named Insured,Combo Box,"SELECT tblPolicies.AcctOnPolicyName AS [Named Insured on Policy], tblAcctSpecial.CustomerName AS [Customer Name], tblAcctSpecial.AcctOwner AS [Account Owner], tblPolicies.CustomerNum FROM tblPolicies INNER JOIN tblAcctSpecial ON tblPolicies.CustomerNum = tblAcctSpecial.CustomerNum GROUP BY tblPolicies.AcctOnPolicyName, tblAcctSpecial.CustomerName, tblAcctSpecial.AcctOwner, tblPolicies.CustomerNum HAVING (((tblPolicies.AcctOnPolicyName) Is Not Null)) ORDER BY tblPolicies.AcctOnPolicyName; ",,,,frmFindAccount_CCT,,,,,,,,,
Account Selection - CCT,btnProceed,Go To Account,Command Button,,,,,,,,,"The Proceed button decides where the user should go next based on whether the work is:

Non?Affinity business, or
Affinity business

It also prevents users from proceeding unless they have made the required selection first.

Step 1: Check the business type (optAffinAcct)
The logic starts by checking the value of optAffinAcct:

optAffinAcct = 2 ? This means NOT Affinity Business
Any other value ? This means Affinity Business

This option determines which workflow and form will be opened next.

Step 2: Non?Affinity Business path (optAffinAcct = 2)
Validation check
Before moving forward, the code checks whether the user selected any account information by verifying these controls:

cboAcctName
cboCustNum
cboPolicy
cboAffiliate
cboProducer
cboNamedInsured

If all of these are Null, then:

A message box appears saying:
“You have made an account selection yet. Please go back and select an account.”
Message type: Information
Title: Selection Required
The procedure stops immediately (Exit Sub)

Successful validation
If at least one of those fields has a value:

The form frmAccountParent_CCT is opened
This moves the user into the non?affinity account workflow


Step 3: Affinity Business path (Else branch)
Validation check
For affinity business, the required selections are program?based, so the code checks:

cboAffinName
cboAffinCode

If both are Null:

A message box appears saying:
“You have made an program selection yet. Please go back and select a program.”
Message type: Information
Title: Selection Required
The procedure stops immediately

Successful validation
If either field has a value:

The form frmAffinityParent_CCT is opened
This moves the user into the affinity program workflow


Final outcome in simple terms

The button routes the user to the correct next screen based on business type.
It enforces required selections so users can’t proceed without choosing:

An Account (for non?affinity), or
A Program (for affinity).


It prevents blank or accidental workflow progression.",36,,,,
,,,,,,,,,,,,,,,,,
