column_ordinal,ColumnName,DataType,is_nullable
1,Customer Number,char(10),1
2,Policy Insured Name,varchar(30),1
3,Claim Number,varchar(40),1
4,Exposure,varchar(2),1
5,Claimant Name,varchar(130),0
6,Account Location Identifier,varchar(255),1
7,Accident State,varchar(22),1
8,Policy Symbol,char(3),1
9,Policy Number,char(7),1
10,Policy MOD,char(2),1
11,Policy Effective Date,varchar(30),1
12,Policy Expiration Date,varchar(30),1
13,Loss Date,varchar(30),1
14,Date of Notice,varchar(30),1
15,Lag Time,int,1
16,Claim Status,varchar(255),1
17,Claim Closed Date,varchar(30),1
18,Coverage,varchar(512),1
19,Outstanding Loss Reserve,"decimal(38,2)",1
20,Total Paid Loss Net Salvage/Subro/Loss Recovery,"decimal(38,2)",1
21,Incurred w/o ALAE,"decimal(38,2)",1
22,ALAE Reserve,"decimal(38,2)",1
23,ALAE Paid,"decimal(18,2)",1
24,Total Incurred + ALAE,"decimal(18,2)",1
25,Salvage Recovery,"decimal(38,2)",1
26,Subro Recovery,"decimal(38,2)",1
27,Loss Recovery,"decimal(38,2)",1
28,Deductible Recovery,"decimal(38,2)",1
29,Expense Recovery,"decimal(38,2)",0
30,Litigation Status,varchar(512),1
31,Cause Of Loss,varchar(512),1
32,Description of Loss,varchar(512),1
33,Contributing Factor,varchar(512),1
34,Product,varchar(255),1
35,Manufacturer,varchar(255),1
36,Policy Region Description,varchar(255),1
37,Policy Holder Retailer Desc,varchar(255),1
38,Policy Holder Claim Number,varchar(255),0
39,Occupation,varchar(255),0
40,Accident Day Of Week,nvarchar(30),1
41,Insured Driver,varchar(81),0
42,Total Loss Indicator,varchar(1),1
43,Vehicle Year,"decimal(18,0)",1
44,Vehicle Manufacturer,varchar(40),1
45,Vehicle Model,varchar(40),1
46,Vehicle ID Number,varchar(40),1
47,Vehicle License Plate,varchar(40),1
48,Vehicle License State,varchar(22),1
49,Adjuster,varchar(255),1
50,Record Only Indicator,varchar(1),1
51,Policy,varchar(14),0
52,Policy Year,int,1
53,Claims above 50K,int,0
54,Claim Feature Number,varchar(42),0
55,Total Incurred,"decimal(38,2)",1
